Source,Country,Type,Prod_t_est_2020,Prod_t_est_2021
MCS2022,United States,arsenic trioxide,0,0
MCS2022,Belgium,arsenic trioxide,1000,1000
MCS2022,Bolivia,arsenic trioxide,100,160
MCS2022,China,arsenic trioxide,24000,24000
MCS2022,Japan,arsenic trioxide,40,40
MCS2022,Morocco,arsenic trioxide,7700,7000
MCS2022,Peru,arsenic trioxide,27000,27000
MCS2022,Russia,arsenic trioxide,120,100
MCS2022,World total (rounded),arsenic trioxide,60000,59000
