Source,Country,Type,Prod_t_2020,Prod_t_est_2021
MCS2022,United States ,kyanite,67100,81000
MCS2022,India ,kyanite and sillimanite,61000,70000
MCS2022,Peru ,andalusite,40000,40000
MCS2022,South Africa ,andalusite,180000,190000
MCS2022,World total (rounded),NA,NA,NA
