Source,Country,Type,Prod_kt_2020,Prod_kt_Est_2021
MCS2022,United States,"Mne production, marketable chromite ore, gross weight",0,0
MCS2022,Finland,"Mne production, marketable chromite ore, gross weight",2290,2300
MCS2022,India,"Mne production, marketable chromite ore, gross weight",2500,3000
MCS2022,Kazakhstan,"Mne production, marketable chromite ore, gross weight",7000,7000
MCS2022,South Africa,"Mne production, marketable chromite ore, gross weight",13200,18000
MCS2022,Turkey,"Mne production, marketable chromite ore, gross weight",8000,7000
MCS2022,Other countries,"Mne production, marketable chromite ore, gross weight",3980,4100
MCS2022,World total (rounded),"Mne production, marketable chromite ore, gross weight",37000,41000
