Source,Country,Type,Prod_t_est_2020,Prod_t_est_2021
MCS2022,United States,Mine production,W,W
MCS2022,Canada,Mine production,20000,20000
MCS2022,China,Mine production,890000,900000
MCS2022,India,Mine production,170000,180000
MCS2022,Mexico,Mine production,77700,100000
MCS2022,Other countries,Mine production,17000,20000
MCS2022,World total (rounded),Mine production,1200000,1200000
