Source,Country,Type,Prod_t_2020,Prod_t_Est_2021
MCS2022,United States,Mine production,165,170
MCS2022,Brazil,Mine production,3,3
MCS2022,China,Mine production,70,70
MCS2022,Madagascar,Mine production,1,1
MCS2022,Mozambique,Mine production,3,3
MCS2022,Nigeria,Mine production,1,1
MCS2022,Rwanda,Mine production,1,1
MCS2022,Uganda,Mine production,7,7
MCS2022,World total (rounded),Mine production,250,260
