Source,Country,Type,Prod_kg_2020,Prod_kg_Est_2021
MCS2022,United States,Primary production,0,0
MCS2022,China,Primary production,317000,420000
MCS2022,Japan,Primary production,3000,3000
MCS2022,"Korea, Republic of",Primary production,2000,2000
MCS2022,Russia,Primary production,5000,5000
MCS2022,World total (rounded),Primary production,327000,430000
