Source,Country,Type,Prod_t_2020,Prod_t_est_2021
MCS2022,United States,Mine production,101000,75000
MCS2022,Australia,Mine production,360000,360000
MCS2022,China,Mine production,310000,310000
MCS2022,India,Mine production,130000,130000
MCS2022,South Africa,Mine production,140000,140000
MCS2022,Other countries,Mine production,60000,60000
MCS2022,World total (rounded),Mine production,1100000,1100000
