Source,Country,Type,Prod_t_2020,Prod_t_Est_2021
MCS2022,United States,"Mine production, contained lithium",W,W
MCS2022,Argentina,"Mine production, contained lithium",5900,6200
MCS2022,Australia,"Mine production, contained lithium",39700,55000
MCS2022,Brazil,"Mine production, contained lithium",1420,1500
MCS2022,Chile,"Mine production, contained lithium",21500,26000
MCS2022,China,"Mine production, contained lithium",13300,14000
MCS2022,Portugal,"Mine production, contained lithium",348,900
MCS2022,Zimbabwe,"Mine production, contained lithium",417,1200
MCS2022,World total (rounded),"Mine production, contained lithium",82500,100000
