Source,Country,Type,Prod_mct_2020,Prod_mct_Est_2021
MCS2022,United States,Mine production,—,—
MCS2022,Australia,Mine production,11,8
MCS2022,Botswana,Mine production,5,6
MCS2022,Congo (Kinshasa),Mine production,10,11
MCS2022,Russia,Mine production,14,15
MCS2022,South Africa,Mine production,2,2
MCS2022,Zimbabwe,Mine production,2,2
MCS2022,Other countries,Mine production,1,1
MCS2022,World total (rounded),Mine production,45,45
