year,state,special,cook_rating,winner_name,winner_party,winner_pct
2004,AL,False,NA,Richard C. Shelby,Republican,67.5
2004,AK,False,NA,Lisa Murkowski,Republican,48.6
2004,AZ,False,NA,John McCain,Republican,76.7
2004,AR,False,NA,Blanche L. Lincoln,Democrat,55.9
2004,CA,False,NA,Barbara Boxer,Democrat,57.7
2004,CO,False,NA,Ken Salazar,Democrat,51.3
2004,CT,False,NA,Christopher J. Dodd,Democrat,66.4
2004,FL,False,NA,Mel Martinez,Republican,49.4
2004,GA,False,NA,Johnny Isakson,Republican,57.9
2004,HI,False,NA,Daniel K. Inouye,Democrat,75.5
2004,ID,False,NA,Mike Crapo,Republican,99.2
2004,IL,False,NA,Barack Obama,Democrat,70.0
2004,IN,False,NA,Evan Bayh,Democrat,61.6
2004,IA,False,NA,Charles E. Grassley,Republican,70.2
2004,KS,False,NA,Sam Brownback,Republican,69.2
2004,KY,False,NA,Jim Bunning,Republican,50.7
2004,LA,False,NA,David Vitter,Republican,51.0
2004,MD,False,NA,Barbara A. Mikulski,Democrat,64.8
2004,MO,False,NA,Christopher S. Bond,Republican,56.1
2004,NV,False,NA,Harry Reid,Democrat,61.1
2004,NH,False,NA,Judd Gregg,Republican,66.2
2004,NY,False,NA,Charles E. Schumer,Democrat,71.2
2004,NC,False,NA,Richard Burr,Republican,51.6
2004,ND,False,NA,Byron L. Dorgan,Democrat,68.3
2004,OH,False,NA,George V. Voinovich,Republican,63.8
2004,OK,False,NA,Tom Coburn,Republican,52.8
2004,OR,False,NA,Ron Wyden,Democrat,63.4
2004,PA,False,NA,Arlen Specter,Republican,52.6
2004,SC,False,NA,Jim DeMint,Republican,53.7
2004,SD,False,NA,John Thune,Republican,50.6
2004,UT,False,NA,Robert F. Bennett,Republican,68.7
2004,VT,False,NA,Patrick J. Leahy,Democrat,70.6
2004,WA,False,NA,Patty Murray,Democrat,55.0
2004,WI,False,NA,Russel D. Feingold,Democrat,55.4
2006,AZ,False,NA,Jon Kyl,Republican,53.3
2006,CA,False,NA,Dianne Feinstein,Democrat,59.4
2006,CT,False,NA,Joseph I. Lieberman,Connecticut For Lieberman,49.7
2006,DE,False,NA,Thomas R. Carper,Democrat,70.2
2006,FL,False,NA,Bill Nelson,Democrat,60.3
2006,HI,False,NA,Daniel K. Akaka,Democrat,61.3
2006,IN,False,NA,Richard G. Lugar,Republican,87.4
2006,ME,False,NA,Olympia J. Snowe,Republican,74.4
2006,MD,False,NA,Benjamin L. Cardin,Democrat,54.2
2006,MA,False,NA,Edward M. Kennedy,Democrat,66.9
2006,MI,False,NA,Debbie Stabenow,Democrat,56.9
2006,MN,False,NA,Amy Klobuchar,Democrat,58.1
2006,MS,False,NA,Trent Lott,Republican,63.6
2006,MO,False,NA,Claire McCaskill,Democrat,49.6
2006,MT,False,NA,Jon Tester,Democrat,49.2
2006,NE,False,NA,E. Benjamin Nelson,Democrat,63.9
2006,NV,False,NA,John Ensign,Republican,55.4
2006,NJ,False,NA,Robert Menendez,Democrat,57.2
2006,NM,False,NA,Jeff Bingaman,Democrat,70.6
2006,NY,False,NA,Hillary Rodham Clinton,Democrat,57.4
2006,ND,False,NA,Kent Conrad,Democrat,68.8
2006,OH,False,NA,Sherrod Brown,Democrat,56.2
2006,PA,False,NA,Bob Casey Jr.,Democrat,58.6
2006,RI,False,NA,Sheldon Whitehouse,Democrat,53.5
2006,TN,False,NA,Bob Corker,Republican,50.7
2006,TX,False,NA,Kay Bailey Hutchison,Republican,61.7
2006,UT,False,NA,Orrin G. Hatch,Republican,62.4
2006,VT,False,NA,Bernard Sanders,Independent,65.4
2006,VA,False,NA,James H. Jim Webb Jr.,Democrat,49.6
2006,WA,False,NA,Maria Cantwell,Democrat,56.9
2006,WV,False,NA,Robert C. Byrd,Democrat,77.0
2006,WI,False,NA,Herb Kohl,Democrat,67.3
2006,WY,False,NA,Craig Thomas,Republican,68.9
2008,AL,False,solid-r,Jeff Sessions,Republican,63.4
2008,AK,False,lean-d,Mark Begich,Democrat,47.8
2008,AR,False,solid-d,Mark L. Pryor,Democrat,79.5
2008,CO,False,lean-d,Mark Udall,Democrat,52.8
2008,DE,False,solid-d,Joseph R. Biden Jr.,Democrat,64.7
2008,GA,False,tossup,Saxby Chambliss,Republican,57.4
2008,ID,False,solid-r,Jim Risch,Republican,57.7
2008,IL,False,solid-d,Richard J. Durbin,Democrat,67.8
2008,IA,False,solid-d,Tom Harkin,Democrat,62.7
2008,KS,False,solid-r,Pat Roberts,Republican,60.1
2008,KY,False,lean-r,Mitch McConnell,Republican,53.0
2008,LA,False,lean-d,Mary L. Landrieu,Democrat,52.1
2008,ME,False,likely-r,Susan M. Collins,Republican,61.3
2008,MA,False,solid-d,John F. Kerry,Democrat,63.6
2008,MI,False,solid-d,Carl Levin,Democrat,62.7
2008,MN,False,tossup,Al Franken,Democrat,42.0
2008,MS,False,solid-r,Thad Cochran,Republican,61.4
2008,MS,True,tossup,Roger F. Wicker,Republican,55.0
2008,MT,False,solid-d,Max Baucus,Democrat,72.9
2008,NE,False,likely-r,Mike Johanns,Republican,57.5
2008,NH,False,tossup,Jeanne Shaheen,Democrat,51.6
2008,NJ,False,solid-d,Frank R. Lautenberg,Democrat,56.0
2008,NM,False,lean-d,Tom Udall,Democrat,61.3
2008,NC,False,tossup,Kay Hagan,Democrat,52.7
2008,OK,False,likely-r,James M. Inhofe,Republican,56.7
2008,OR,False,tossup,Jeff Merkley,Democrat,48.9
2008,RI,False,solid-d,Jack Reed,Democrat,73.1
2008,SC,False,solid-r,Lindsey Graham,Republican,57.5
2008,SD,False,likely-d,Tim Johnson,Democrat,62.5
2008,TN,False,solid-r,Lamar Alexander,Republican,65.1
2008,TX,False,solid-r,John Cornyn,Republican,54.8
2008,VA,False,likely-d,Mark R. Warner,Democrat,65.0
2008,WV,False,solid-d,John D. Rockefeller IV,Democrat,63.7
2008,WY,False,solid-r,Michael B. Enzi,Republican,75.6
2008,WY,True,solid-r,John Barrasso,Republican,73.3
2010,AL,False,NA,Richard C. Shelby,Republican,65.2
2010,AK,False,NA,Lisa Murkowski,Republican,39.6
2010,AZ,False,NA,John McCain,Republican,58.9
2010,AR,False,NA,John Boozman,Republican,57.9
2010,CA,False,NA,Barbara Boxer,Democrat,52.2
2010,CO,False,NA,Michael F. Bennet,Democrat,48.1
2010,CT,False,NA,Richard Blumenthal,Democrat,52.5
2010,DE,True,NA,Christopher A. Coons,Democrat,56.6
2010,FL,False,NA,Marco Rubio,Republican,48.9
2010,GA,False,NA,Johnny Isakson,Republican,58.3
2010,HI,False,NA,Daniel K. Inouye,Democrat,74.8
2010,ID,False,NA,Mike Crapo,Republican,71.2
2010,IL,False,NA,Mark Kirk,Republican,48.0
2010,IN,False,NA,Dan Coats,Republican,54.6
2010,IA,False,NA,Chuck Grassley,Republican,64.4
2010,KS,False,NA,Jerry Moran,Republican,70.1
2010,KY,False,NA,Rand Paul,Republican,55.7
2010,LA,False,NA,David Vitter,Republican,56.6
2010,MD,False,NA,Barbara Mikulski,Democrat,62.2
2010,MA,True,NA,Scott Brown,Republican,51.8
2010,MO,False,NA,Roy Blunt,Republican,54.2
2010,NV,False,NA,Harry Reid,Democrat,50.3
2010,NH,False,NA,Kelly Ayotte,Republican,60.1
2010,NY,False,NA,Charles E. Schumer,Democrat,64.0
2010,NY,True,NA,Kirsten E. Gillibrand,Democrat,59.6
2010,NC,False,NA,Richard Burr,Republican,54.8
2010,ND,False,NA,John Hoeven,Republican,76.2
2010,OH,False,NA,Rob Portman,Republican,56.8
2010,OK,False,NA,Thomas A. Coburn,Republican,70.6
2010,OR,False,NA,Ron Wyden,Democrat,57.2
2010,PA,False,NA,Pat Toomey,Republican,51.0
2010,SC,False,NA,Jim DeMint,Republican,61.5
2010,SD,False,NA,John Thune,Republican,100.0
2010,UT,False,NA,Mike Lee,Republican,61.6
2010,VT,False,NA,Patrick J. Leahy,Democrat,64.3
2010,WA,False,NA,Patty Murray,Democrat,52.4
2010,WV,True,NA,Joe Manchin III,Democrat,53.5
2010,WI,False,NA,Ron Johnson,Republican,51.9
2012,AZ,False,tossup,Jeff Flake,Republican,49.2
2012,CA,False,solid-d,Dianne Feinstein,Democrat,62.5
2012,CT,False,tossup,Christopher S. Murphy,Democrat,52.5
2012,DE,False,solid-d,Thomas R. Carper,Democrat,66.4
2012,FL,False,lean-d,Bill Nelson,Democrat,55.2
2012,HI,False,lean-d,Mazie K. Hirono,Democrat,61.6
2012,IN,False,tossup,Joe Donnelly,Democrat,50.0
2012,ME,False,tossup,Angus King,Independent For Maine,51.1
2012,MD,False,solid-d,Benjamin L. Cardin,Democrat,56.0
2012,MA,False,tossup,Elizabeth A. Warren,Democrat,53.3
2012,MI,False,likely-d,Debbie Stabenow,Democrat,58.8
2012,MN,False,solid-d,Amy Klobuchar,Democrat,65.2
2012,MS,False,solid-r,Roger F. Wicker,Republican,57.2
2012,MO,False,likely-d,Claire McCaskill,Democrat,54.8
2012,MT,False,tossup,Jon Tester,Democrat,48.6
2012,NE,False,lean-r,Deb Fischer,Republican,57.8
2012,NV,False,tossup,Dean Heller,Republican,45.9
2012,NJ,False,likely-d,Robert Menendez,Democrat,58.9
2012,NM,False,lean-d,Martin Heinrich,Democrat,51.0
2012,NY,False,solid-d,Kirsten E. Gillibrand,Democrat,62.1
2012,ND,False,tossup,Heidi Heitkamp,Democrat,50.2
2012,OH,False,lean-d,Sherrod Brown,Democrat,50.7
2012,PA,False,lean-d,Robert P. Casey Jr.,Democrat,53.7
2012,RI,False,solid-d,Sheldon Whitehouse,Democrat,64.8
2012,TN,False,solid-r,Bob Corker,Republican,64.9
2012,TX,False,solid-r,Ted Cruz,Republican,56.5
2012,UT,False,solid-r,Orrin G. Hatch,Republican,65.3
2012,VT,False,solid-d,Bernard Sanders,Independent,71.0
2012,VA,False,tossup,Timothy M. Kaine,Democrat,52.9
2012,WA,False,solid-d,Maria Cantwell,Democrat,60.5
2012,WV,False,likely-d,Joe Manchin III,Democrat,60.6
2012,WI,False,tossup,Tammy Baldwin,Democrat,51.4
2012,WY,False,solid-r,John Barrasso,Republican,73.9
2014,AL,False,solid-r,Jeff Sessions,Republican,97.3
2014,AK,False,tossup,Dan Sullivan,Republican,48.0
2014,AR,False,tossup,Tom Cotton,Republican,56.5
2014,CO,False,tossup,Cory Gardner,Republican,48.2
2014,DE,False,solid-d,Christopher A. Coons,Democrat,55.8
2014,GA,False,tossup,David A. Perdue,Republican,52.9
2014,HI,True,solid-d,Brian Schatz,Democrat,66.8
2014,ID,False,solid-r,James E. Risch,Republican,65.3
2014,IL,False,solid-d,Richard J. Durbin,Democrat,53.5
2014,IA,False,tossup,Joni Ernst,Republican,52.1
2014,KS,False,tossup,Pat Roberts,Republican,53.1
2014,KY,False,lean-r,Mich McConnell,Republican,56.2
2014,LA,False,tossup,Bill Cassidy,Republican,48.6
2014,ME,False,solid-r,Susan M. Collins,Republican,67.0
2014,MA,False,solid-d,Edward J. Markey,Democrat,59.0
2014,MI,False,lean-d,Gary C. Peters,Democrat,54.6
2014,MN,False,likely-d,Al Franken,Democrat,53.2
2014,MS,False,likely-r,Thad Cochran,Republican,59.9
2014,MT,False,solid-r,Steve Daines,Republican,57.8
2014,NE,False,solid-r,Ben Sasse,Republican,64.3
2014,NH,False,tossup,Jeanne Shaheen,Democrat,51.5
2014,NJ,False,solid-d,Cory A. Booker,Democrat,55.8
2014,NM,False,solid-d,Tom Udall,Democrat,55.6
2014,NC,False,tossup,Thom Tillis,Republican,48.8
2014,OK,False,solid-r,James M. Inhofe,Republican,68.0
2014,OK,True,solid-r,James Lankford,Republican,67.9
2014,OR,False,likely-d,Jeff Merkley,Democrat,55.7
2014,RI,False,solid-d,Jack Reed,Democrat,70.6
2014,SC,False,solid-r,Lindsey Graham,Republican,54.3
2014,SC,True,solid-r,Tim Scott,Republican,61.1
2014,SD,False,lean-r,Mike Rounds,Republican,50.4
2014,TN,False,solid-r,Lamar Alexander,Republican,61.9
2014,TX,False,solid-r,John Cornyn,Republican,61.6
2014,VA,False,likely-d,Mark R. Warner,Democrat,49.1
2014,WV,False,likely-r,Shelley Moore Capito,Republican,62.1
2014,WY,False,solid-r,Michael B. Enzi,Republican,71.0
2016,AL,False,solid-r,Richard C. Shelby,Republican,64.0
2016,AK,False,likely-r,Lisa Murkowski,Republican,44.4
2016,AZ,False,lean-r,John McCain,Republican,53.7
2016,AR,False,solid-r,John Boozman,Republican,59.8
2016,CA,False,solid-d,Kamala D. Harris,Democrat,61.6
2016,CO,False,likely-d,Michael F. Bennet,Democrat,50.0
2016,CT,False,solid-d,Richard Blumenthal,Democrat,57.7
2016,FL,False,lean-r,Marco Rubio,Republican,52.0
2016,GA,False,likely-r,Johnny Isakson,Republican,54.8
2016,HI,False,solid-d,Brian Schatz,Democrat,70.1
2016,ID,False,solid-r,Mike Crapo,Republican,66.1
2016,IL,False,lean-d,Tammy Duckworth,Democrat,54.9
2016,IN,False,tossup,Todd C. Young,Republican,52.1
2016,IA,False,likely-r,Chuck Grassley,Republican,60.1
2016,KS,False,solid-r,Jerry Moran,Republican,62.2
2016,KY,False,solid-r,Rand Paul,Republican,57.3
2016,LA,False,solid-r,John Kennedy,Republican,26.8
2016,MD,False,solid-d,Chris Van Hollen,Democrat,60.9
2016,MO,False,tossup,Roy Blunt,Republican,49.2
2016,NV,False,tossup,Catherine Cortez Masto,Democrat,47.1
2016,NH,False,tossup,Maggie Hassan,Democrat,48.0
2016,NY,False,solid-d,Charles E. Schumer,Democrat,61.3
2016,NC,False,tossup,Richard Burr,Republican,51.1
2016,ND,False,solid-r,John Hoeven,Republican,78.5
2016,OH,False,lean-r,Rob Portman,Republican,58.0
2016,OK,False,solid-r,James Lankford,Republican,67.7
2016,OR,False,solid-d,Ron Wyden,Democrat,56.6
2016,PA,False,tossup,Patrick J. Toomey,Republican,48.8
2016,SC,False,solid-r,Tim Scott,Republican,60.6
2016,SD,False,solid-r,John R. Thune,Republican,71.8
2016,UT,False,solid-r,Mike Lee,Republican,68.1
2016,VT,False,solid-d,Patrick J. Leahy,Democrat,60.0
2016,WA,False,solid-d,Patty Murray,Democrat,59.0
2016,WI,False,tossup,Ron Johnson,Republican,50.2
2018,AZ,False,tossup,Kyrsten Sinema,Democrat,50.0
2018,CA,False,solid-d,Dianne Feinstein,Democrat,54.2
2018,CT,False,solid-d,Christopher S Murphy,Democrat,56.8
2018,DE,False,solid-d,Thomas R Carper,Democrat,60.0
2018,FL,False,tossup,Rick Scott,Republican,50.1
2018,HI,False,solid-d,Mazie K. Hirono,Democrat,71.2
2018,IN,False,tossup,Mike Braun,Republican,50.7
2018,ME,False,solid-d,Angus S. King Jr.,Independent,54.3
2018,MD,False,solid-d,Ben Cardin,Democrat,64.9
2018,MA,False,solid-d,Elizabeth A. Warren,Democrat,60.3
2018,MI,False,likely-d,Debbie Stabenow,Democrat,52.3
2018,MN,False,solid-d,Amy Klobuchar,Democrat,30.2
2018,MN,True,lean-d,Tina Smith,Democrat,26.4
2018,MS,False,solid-r,Roger F. Wicker,Republican,29.7
2018,MS,True,lean-r,Cindy Hyde-Smith,Republican,26.4
2018,MO,False,tossup,Josh Hawley,Republican,51.4
2018,MT,False,tossup,Jon Tester,Democrat,50.3
2018,NE,False,solid-r,Deb Fischer,Republican,57.7
2018,NV,False,tossup,Jacky Rosen,Democrat,50.4
2018,NJ,False,tossup,Robert Menendez,Democrat,54.0
2018,NM,False,solid-d,Martin T Heinrich,Democrat,54.1
2018,NY,False,solid-d,Kirsten E. Gillibrand,Democrat,62.0
2018,ND,False,lean-r,Kevin Cramer,Republican,55.1
2018,OH,False,likely-d,Sherrod Brown,Democrat,53.4
2018,PA,False,likely-d,Robert P Casey Jr,Democrat,55.6
2018,RI,False,solid-d,Sheldon Whitehouse,Democrat,61.4
2018,TN,False,tossup,Marsha Blackburn,Republican,54.7
2018,TX,False,tossup,Ted Cruz,Republican,50.9
2018,UT,False,solid-r,Mitt Romney,Republican,62.6
2018,VT,False,solid-d,Bernie Sanders,Independent,67.3
2018,VA,False,solid-d,Timothy M. Kaine,Democrat,57.0
2018,WA,False,solid-d,Maria Cantwell,Democrat,58.4
2018,WV,False,lean-d,Joe Manchin,Democrat,49.5
2018,WI,False,likely-d,Tammy Baldwin,Democrat,55.4
2018,WY,False,solid-r,John Barrasso,Republican,67.0
