year,state,special,cook_rating,winner_name,winner_party,winner_pct
1982,IN,False,NA,Richard G. Lugar,Republican,53.8
1982,ME,False,NA,George J. Mitchell,Democrat,60.9
1982,MD,False,NA,Paul S. Sarbanes,Democrat,63.5
1982,MA,False,NA,Edward M. Kennedy,Democrat,60.8
1982,MI,False,NA,Donald W. Riegle Jr.,Democrat,57.7
1982,MN,False,NA,Dave Durenberger,Republican,52.6
1982,MS,False,NA,John C. Stennis,Democrat,64.2
1982,MO,False,NA,John C. Danforth,Republican,50.8
1982,MT,False,NA,John Melcher,Democrat,54.5
1982,NE,False,NA,Edward Zorinsky,Democrat,66.6
1982,NV,False,NA,Chic Hecht,Republican,51.2
1982,NJ,False,NA,Frank R. Lautenberg,Democrat,50.9
1982,NM,False,NA,Jeff Bingaman,Democrat,53.8
1982,NY,False,NA,Daniel P. Moynihan,Democrat,62.2
1982,ND,False,NA,Quentin N. Burdick,Democrat,62.8
1982,OH,False,NA,Howard M. Metzenbaum,Democrat,56.7
1982,PA,False,NA,John Heinz,Republican,59.3
1982,RI,False,NA,John H. Chafee,Republican,51.2
1982,TN,False,NA,Jim Sasser,Democrat,61.9
1982,TX,False,NA,Lloyd Bentsen,Democrat,58.6
1982,UT,False,NA,Orrin G. Hatch,Republican,58.3
1982,VT,False,NA,Robert T. Stafford,Republican,50.3
1982,VA,False,NA,Paul S. Trible Jr.,Republican,51.2
1982,WA,False,NA,Henry M. Jackson,Democrat,69.0
1982,WV,False,NA,Robert C. Byrd,Democrat,68.5
1982,WI,False,NA,William Proxmire,Democrat,63.6
1982,WY,False,NA,Malcolm Wallop,Republican,56.7
1984,AL,False,NA,Howell Heflin,Democrat,62.8
1984,AK,False,NA,Ted Stevens,Republican,71.2
1984,AR,False,NA,David Pryor,Democrat,57.3
1984,CO,False,NA,William L. Bill Armstrong,Republican,64.2
1984,DE,False,NA,Joseph R. Biden Jr.,Democrat,60.1
1984,GA,False,NA,Sam Nunn,Democrat,79.9
1984,ID,False,NA,James A. McClure,Republican,72.2
1984,IL,False,NA,Paul Simon,Democrat,50.1
1984,IA,False,NA,Tom Harkin,Democrat,55.5
1984,KS,False,NA,Nancy Landon Kassebaum,Republican,76.0
1984,KY,False,NA,Mitch McConnell,Democrat,49.9
1984,LA,False,NA,J. Bennett Johnston Jr.,Democrat,100.0
1984,ME,False,NA,William S. Cohen,Republican,73.3
1984,MA,False,NA,John F. Kerry,Democrat,55.1
1984,MI,False,NA,Carl Levin,Democrat,51.8
1984,MN,False,NA,Rudy Boschwitz,Republican,58.1
1984,MS,False,NA,Thad Cochran,Republican,60.9
1984,MT,False,NA,Max Baucus,Democrat,56.9
1984,NE,False,NA,J. J. Exon,Democrat,51.9
1984,NH,False,NA,Gordon J. Humphrey,Republican,58.8
1984,NJ,False,NA,Bill Bradley,Democrat,64.2
1984,NM,False,NA,Pete V. Domenici,Republican,71.9
1984,NC,False,NA,Jesse Helms,Republican,51.7
1984,OK,False,NA,David Boren,Democrat,75.6
1984,OR,False,NA,Mark O. Hatfield,Republican,66.5
1984,RI,False,NA,Claiborne deB. Pell,Democrat,72.7
1984,SC,False,NA,Strom Thurmond,Republican,66.8
1984,SD,False,NA,Larry Pressler,Republican,74.5
1984,TN,False,NA,Albert Gore Jr.,Democrat,60.7
1984,TX,False,NA,Phil Gramm,Republican,58.5
1984,VA,False,NA,John W. Warner,Republican,70.0
1984,WV,False,NA,Jay Rockefeller,Democrat,51.8
1984,WY,False,NA,Al Simpson,Republican,78.3
1986,AL,False,NA,Richard Shelby,Democrat,50.3
1986,AK,False,NA,Frank H. Murkowski,Republican,54.0
1986,AZ,False,NA,John McCain,Republican,60.5
1986,AR,False,NA,Dale Bumpers,Democrat,62.3
1986,CA,False,NA,Alan Cranston,Democrat,49.3
1986,CO,False,NA,Timothy E. Wirth,Democrat,49.9
1986,CT,False,NA,Christopher J. Dodd,Democrat,64.8
1986,FL,False,NA,Bob Graham,Democrat,54.7
1986,GA,False,NA,Wyche Fowler Jr.,Democrat,50.9
1986,HI,False,NA,Daniel K. Inouye,Democrat,73.6
1986,ID,False,NA,Steve Symms,Republican,51.6
1986,IL,False,NA,Alan J. Dixon,Democrat,65.1
1986,IN,False,NA,Dan Quayle,Republican,60.6
1986,IA,False,NA,Charles E. Grassley,Republican,66.0
1986,KS,False,NA,Bob Dole,Republican,70.0
1986,KY,False,NA,Wendell H. Ford,Democrat,74.4
1986,LA,False,NA,John B. Breaux,Democrat,52.8
1986,MD,False,NA,Barbara A. Mikulski,Democrat,60.7
